inlet_temperature_c,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_methane_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,status,terminal_event,solver_function_evaluations,message
362.5,2.4,91.5498335818043,79.24663945169016,538.8466908340686,2.274105118779198,completed,,497,The solver successfully reached the end of the integration interval.
370.0,2.4,90.82376824247916,78.32291522775647,544.2518731895904,2.2729985402796498,completed,,493,The solver successfully reached the end of the integration interval.
377.5,2.4,90.0528399639297,77.37325815171096,549.5212412677238,2.271935874949096,completed,,493,The solver successfully reached the end of the integration interval.
385.0,2.4,89.23772566060704,76.39989598653774,554.6742877453712,2.2709099060224878,completed,,486,The solver successfully reached the end of the integration interval.
392.5,2.4,88.37924311377918,75.40480612887141,559.726042825599,2.2699147749726043,completed,,469,The solver successfully reached the end of the integration interval.
400.0,2.4,87.47834744071092,74.3897518800743,564.6906932050321,2.2689456867683586,completed,,485,The solver successfully reached the end of the integration interval.
250.0,3.0999999999999996,90.60617294996,74.43492347154435,431.3853611964912,3.0239084126420437,completed,,316,The solver successfully reached the end of the integration interval.
257.5,3.0999999999999996,94.15086588692331,79.14838375424456,445.7933845844541,3.0215397476592147,completed,,340,The solver successfully reached the end of the integration interval.
265.0,3.0999999999999996,95.72620202754115,82.5212032103421,457.00719543816217,3.0193371393995667,completed,,398,The solver successfully reached the end of the integration interval.
272.5,3.0999999999999996,96.48790599377325,84.97615325025029,466.3728560912,3.01730723285063,completed,,436,The solver successfully reached the end of the integration interval.
280.0,3.0999999999999996,96.858430318409,86.66188902236303,474.41056688296555,3.0154441768355795,completed,,451,The solver successfully reached the end of the integration interval.
287.5,3.0999999999999996,96.97702586844417,87.62389610550395,482.03612854289645,3.0137414342331748,completed,,482,The solver successfully reached the end of the integration interval.
295.0,3.0999999999999996,96.90451982371192,87.92822853431284,489.47201721644706,3.0121934578938454,completed,,490,The solver successfully reached the end of the integration interval.
302.5,3.0999999999999996,96.6919268516293,87.7271777092355,496.65606457431556,3.0107919077255922,completed,,532,The solver successfully reached the end of the integration interval.
310.0,3.0999999999999996,96.38676174445156,87.2243299388281,503.5620517234091,3.009521905010535,completed,,539,The solver successfully reached the end of the integration interval.
317.5,3.0999999999999996,96.02199672091206,86.58071034579169,510.19093542108703,3.0083631643463233,completed,,552,The solver successfully reached the end of the integration interval.
325.0,3.0999999999999996,95.61262571592198,85.87314803936027,516.5603934908665,3.0072948652810174,completed,,526,The solver successfully reached the end of the integration interval.
332.5,3.0999999999999996,95.16246714624533,85.12469836890236,522.6957351572715,3.0062991664180556,completed,,500,The solver successfully reached the end of the integration interval.
340.0,3.0999999999999996,94.67162331067298,84.34139944671784,528.6239198506225,3.0053624557350593,completed,,496,The solver successfully reached the end of the integration interval.
347.5,3.0999999999999996,94.13969613782677,83.52642660937259,534.3700672898665,3.004473810440544,completed,,482,The solver successfully reached the end of the integration interval.
350.0,3.0999999999999996,93.95319426353743,83.2481945350315,536.2500002804663,3.0041867594040537,completed,,511,The solver successfully reached the end of the integration interval.
355.0,3.0999999999999996,93.56634213584212,82.682412453641,539.958459108448,3.003624770757336,completed,,508,The solver successfully reached the end of the integration interval.
362.5,3.0999999999999996,92.95133516480057,81.81165728778932,545.4086575973613,3.0028087888872963,completed,,513,The solver successfully reached the end of the integration interval.
370.0,3.0999999999999996,92.29467792156345,80.91630306963438,550.7379207403329,3.0020200114137783,completed,,500,The solver successfully reached the end of the integration interval.
377.5,3.0999999999999996,91.59638549733876,79.99806237288085,555.9621413729502,3.001254750355504,completed,,528,The solver successfully reached the end of the integration interval.
385.0,3.0999999999999996,90.85677264952217,79.05863390360457,561.0916817767372,3.0005089834448695,completed,,534,The solver successfully reached the end of the integration interval.
392.5,3.0999999999999996,90.07622487482053,78.09943358714042,566.1400573173077,2.999779976786527,completed,,520,The solver successfully reached the end of the integration interval.
400.0,3.0999999999999996,89.25529856134436,77.12176062292193,571.1138296988676,2.999065333251962,completed,,539,The solver successfully reached the end of the integration interval.
250.0,3.8,96.73344090784363,84.0450725136414,448.41306522145203,3.736292059893383,completed,,421,The solver successfully reached the end of the integration interval.
257.5,3.8,97.37629754755682,86.72195762538503,457.80914493320256,3.7344797278866864,completed,,470,The solver successfully reached the end of the integration interval.
265.0,3.8,97.7225951337054,88.61793348244137,465.9142816130395,3.7328367191089615,completed,,508,The solver successfully reached the end of the integration interval.
272.5,3.8,97.88604390634481,89.83062236247078,473.46845654839535,3.731348367929889,completed,,509,The solver successfully reached the end of the integration interval.
280.0,3.8,97.90086800256901,90.41236562581378,480.95921128634905,3.730002484314149,completed,,524,The solver successfully reached the end of the integration interval.
287.5,3.8,97.79354415811244,90.45893364684716,488.29292748409375,3.728788173664725,completed,,524,The solver successfully reached the end of the integration interval.
295.0,3.8,97.59565823187732,90.13358299165452,495.41104705045564,3.7276924789043497,completed,,548,The solver successfully reached the end of the integration interval.
302.5,3.8,97.33685508170178,89.60851351922256,502.28733917717466,3.7266987413984136,completed,,561,The solver successfully reached the end of the integration interval.
310.0,3.8,97.03548314684262,88.99343398883165,508.92009869239075,3.725788686346137,completed,,554,The solver successfully reached the end of the integration interval.
317.5,3.8,96.69799507493777,88.33045042134205,515.3217585978904,3.7249457695025043,completed,,567,The solver successfully reached the end of the integration interval.
